method,group,guidance_factor,target,raw_group_dir,mattergen_group_dir,relaxed_group_dir,skipped_fraction,anisonet_unpredicted_cifs,elapsed_seconds,returncode,total_input_cifs,successful_input_cifs,skipped_input_cifs,skipped_high_order_cifs,skipped_unsupported_terminal_cifs,avg_relax_seconds_per_input,avg_relax_seconds_per_success,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,avg_comp_validity,avg_comp_validity_timeout_rate,avg_comp_validity_error_rate,avg_structure_comp_validity,avg_structure_comp_validity_timeout_rate,avg_structure_comp_validity_error_rate,smact_timeout_seconds,smact_checked_samples,n_structures,n_readable,n_struct_valid,n_predicted,mean_predicted_dielectric_scalar,median_predicted_dielectric_scalar,std_predicted_dielectric_scalar,mae,rmse,frac_within_1,frac_within_2,composition_valid_fraction,structure_valid_fraction,structure_comp_valid_fraction,metal_like_proxy_fraction,min_distance_median,volume_per_atom_median,un_rate,thermo_checked,thermo_success,thermo_failed,thermo_success_rate,thermo_stable_rate,thermo_metastable_rate,thermo_e_above_hull_mean,SUN,MSUN
fixed_film_raw_mattersim,fixed_film__g3__t4,3,4,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g3__t4/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g3__t4,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g3__t4/successful_relaxed_cifs,0.015625,0,2995.35654,0,128,126,2,0,2,23.400774,23.772215,0.375535340002547,1.1134105716717182,0.047619047619047616,0.07936507936507936,1.0,1.0,0.9603174603174603,0.3253968253968254,0.9603174603174603,1.0,0.8968253968253969,0.03968253968253968,7.092223731289827e-06,0.6587301587301587,0.0,0.0,0.6587301587301587,0.0,0.0,2.0,126,126,126,126,126,2.8494174643695565,2.4626497348823806,1.2340082872518718,1.5268687931931493,1.683606574262309,0.19047619047619047,0.8015873015873016,0.6984126984126984,1.0,0.6984126984126984,0.0,1.3762457685399563,18.968457166216297,0.9841269841269841,126,0,126,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g3__t8,3,8,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g3__t8/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g3__t8,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g3__t8/successful_relaxed_cifs,0.015625,0,2510.809575,0,128,126,2,0,2,19.615164,19.926516,0.34868403350596217,1.1912293122248399,0.007936507936507936,0.047619047619047616,1.0,1.0,0.9603174603174603,0.6587301587301587,0.9603174603174603,1.0,0.9841269841269841,0.03968253968253968,1.6548522039676263e-05,0.8968253968253969,0.0,0.0,0.8968253968253969,0.0,0.0,2.0,126,126,126,126,126,7.537890005030208,6.879730215578048,3.6020595621964193,3.0140420737728864,3.6173752737684097,0.16666666666666666,0.3492063492063492,0.8015873015873016,1.0,0.8015873015873016,0.03968253968253968,2.26978380435531,26.730796952808134,1.0,126,0,126,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g4__t12,4,12,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g4__t12/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g4__t12,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g4__t12/successful_relaxed_cifs,1.0,0,0.641203,1,128,0,128,1,127,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
fixed_film_raw_mattersim,fixed_film__g4__t2,4,2,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g4__t2/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g4__t2,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g4__t2/successful_relaxed_cifs,0.078125,0,5049.656847,0,128,118,10,0,1,39.449967,42.793185,0.7778637360200205,1.8852769695206473,0.059322033898305086,0.06779661016949153,1.0,1.0,0.9915254237288136,0.3135593220338983,0.9915254237288136,1.0,0.6271186440677966,0.00847457627118644,2.364074577096609e-06,0.7033898305084746,0.0,0.0,0.7033898305084746,0.0,0.0,2.0,118,118,118,118,118,1.9336936608982505,1.8577719919303612,0.8958060632435537,0.5388150944793363,0.8944632206052784,0.8898305084745762,0.9661016949152542,0.7796610169491526,1.0,0.7796610169491526,0.0,1.385968146023375,38.6447857912862,0.9915254237288136,118,0,118,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g4__t4,4,4,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g4__t4/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g4__t4,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g4__t4/successful_relaxed_cifs,0.0390625,0,4031.0203,0,128,123,5,1,2,31.491884,32.772042,0.47353457936344834,1.2627161850115853,0.056910569105691054,0.08130081300813008,1.0,1.0,0.975609756097561,0.4634146341463415,0.975609756097561,1.0,0.8373983739837398,0.024390243902439025,3.5461118656449135e-06,0.6585365853658537,0.0,0.0,0.6585365853658537,0.0,0.0,2.0,123,123,123,123,123,2.5956072476428704,2.3268630153532537,0.9707682469699503,1.6059364602173425,1.705006826038529,0.14634146341463414,0.7723577235772358,0.7073170731707317,1.0,0.7073170731707317,0.0,1.2416049825539084,24.242521965854248,0.991869918699187,123,0,123,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g4__t8,4,8,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g4__t8/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g4__t8,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g4__t8/successful_relaxed_cifs,0.2734375,0,2131.9541,0,128,93,35,11,21,16.654579,22.922431,0.36429129530097293,1.3651785630469806,0.043010752688172046,0.06451612903225806,1.0,1.0,0.978494623655914,0.7204301075268817,0.978494623655914,1.0,0.978494623655914,0.021505376344086023,2.364074577096609e-06,0.8817204301075269,0.0,0.0,0.8817204301075269,0.0,0.0,2.0,93,93,93,93,93,8.00724832162461,7.093105686217746,3.9990705114201432,2.956769072078144,3.977518627164547,0.24731182795698925,0.40860215053763443,0.7096774193548387,1.0,0.7096774193548387,0.043010752688172046,2.286828918327757,29.97124502786334,0.967741935483871,93,0,93,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g5__t12,5,12,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g5__t12/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g5__t12,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g5__t12/successful_relaxed_cifs,0.9921875,0,4.297,0,128,1,127,0,127,0.030499,3.903847,1.6125222030682331,0.006227656045629353,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1,1,1,1,1,-5.2964933837890795,-5.2964933837890795,,17.29649338378908,17.29649338378908,0.0,0.0,1.0,1.0,1.0,0.0,1.973996060404507,3.30552181125152,1.0,1,0,1,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g5__t2,5,2,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g5__t2/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g5__t2,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g5__t2/successful_relaxed_cifs,0.203125,1,7350.037625,0,128,102,26,0,5,57.421543,72.058407,1.6127763296105289,2.253565617906204,0.00980392156862745,0.00980392156862745,1.0,0.9901960784313726,1.0,0.4803921568627451,1.0,1.0,0.7156862745098039,0.0,0.0,0.6862745098039216,0.0,0.0,0.6764705882352942,0.0,0.0,2.0,102,102,102,101,101,1.9696428527555923,1.7913361382857325,0.8985608643894574,0.6850118253746819,0.8946166826503253,0.7623762376237624,0.9603960396039604,0.6862745098039216,0.9901960784313726,0.6764705882352942,0.0,1.1131069178214372,67.95492373353422,1.0,101,0,101,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g5__t4,5,4,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g5__t4/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g5__t4,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g5__t4/successful_relaxed_cifs,0.3125,6,8078.983557,0,128,88,40,4,8,63.11621,91.805396,0.6526138798601139,1.2625557743571927,0.045454545454545456,0.06818181818181818,1.0,0.9318181818181818,0.9772727272727273,0.4431818181818182,0.9772727272727273,1.0,0.875,0.022727272727272728,2.364074577096609e-06,0.7613636363636364,0.0,0.0,0.7159090909090909,0.0,0.0,2.0,88,88,88,82,82,0.33497603047621055,2.460286086552209,21.483838305994077,3.8375660288487565,21.664694453941017,0.23170731707317074,0.8048780487804879,0.8181818181818182,0.9318181818181818,0.7727272727272727,0.0,1.256535240383276,26.43056743078309,0.9886363636363636,82,0,82,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__g5__t8,5,8,provenance://crystalite/outputs/final output/raw_groups/fixed_film__g5__t8/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g5__t8,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__g5__t8/successful_relaxed_cifs,0.578125,1,1896.772308,0,128,54,74,27,41,14.816161,35.11979,0.4181916500111549,1.45297634174154,0.05555555555555555,0.07407407407407407,1.0,0.9814814814814815,0.9629629629629629,0.7592592592592593,0.9629629629629629,1.0,0.9814814814814815,0.037037037037037035,3.5461118656449135e-06,0.7924528301886793,0.018518518518518517,0.0,0.7735849056603774,0.018518518518518517,0.0,2.0,53,54,54,53,53,8.945417033291498,8.218564092286048,4.736591089213691,3.432608826143376,4.786000528381024,0.1509433962264151,0.33962264150943394,0.6666666666666666,0.9814814814814815,0.6666666666666666,0.037037037037037035,2.252012853855688,31.834289591388362,0.9814814814814815,53,0,53,0.0,,,,,
fixed_film_raw_mattersim,fixed_film__uncond,0,uncond,provenance://crystalite/outputs/final output/raw_groups/fixed_film__uncond/cifs,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__uncond,provenance://crystalite/outputs/final report output/mattergen_eval_fixed_film_raw_skip8/fixed_film__uncond/successful_relaxed_cifs,0.0546875,0,1705.61428,0,128,121,7,0,7,13.32451,14.095349,0.24349811231519666,0.7622857196574162,0.14049586776859505,0.2644628099173554,1.0,1.0,0.859504132231405,0.2727272727272727,0.859504132231405,1.0,0.9917355371900827,0.14049586776859505,3.3097044079352525e-05,0.768595041322314,0.0,0.0,0.768595041322314,0.0,0.0,2.0,121,121,121,121,121,6.81521931903654,4.732339422791065,4.782898564946047,,,,,0.743801652892562,1.0,0.743801652892562,0.10743801652892562,2.0748912007660905,19.29650890625555,0.9752066115702479,121,0,121,0.0,,,,,
